"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2004-Q1"",0.989329454,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2004-Q2"",0.785319376,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2004-Q3"",1.147828227,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2004-Q4"",0.346922428,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2005-Q1"",-0.197090834,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2005-Q2"",1.267711904,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2005-Q3"",0.66808901,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2005-Q4"",0.88101484,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2006-Q1"",1.188613748,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2006-Q2"",0.157496087,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2006-Q3"",1.335742727,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2006-Q4"",0.865080525,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2007-Q1"",1.139781476,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2007-Q2"",1.030013874,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2007-Q3"",0.309434764,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2007-Q4"",0.862452145,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2008-Q1"",0.806175004,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2008-Q2"",0.789187284,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2008-Q3"",-0.645565324,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2008-Q4"",-2.262352389,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2009-Q1"",-1.782782584,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2009-Q2"",-0.78122143,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2009-Q3"",0.398806437,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2009-Q4"",0.657996897,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2010-Q1"",-0.467699718,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2010-Q2"",1.305726736,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2010-Q3"",0.972149772,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2010-Q4"",1.13903202,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2011-Q1"",0.790649854,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2011-Q2"",0.403590654,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2011-Q3"",0.498308576,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2011-Q4"",-0.051929927,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2012-Q1"",0.876069055,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2012-Q2"",-0.409869294,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2012-Q3"",-0.219007476,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2012-Q4"",-0.080953645,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2013-Q1"",-0.09580632,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2013-Q2"",0.022318753,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2013-Q3"",0.463457883,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2013-Q4"",0.381499588,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2014-Q1"",-0.177305642,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2014-Q2"",0.587613784,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2014-Q3"",-0.071632265,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2014-Q4"",0.181575383,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2015-Q1"",0.216379782,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2015-Q2"",0.19346195,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2015-Q3"",0.64808274,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2015-Q4"",0.191846144,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2016-Q1"",0.771718385,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2016-Q2"",0.26820931,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2016-Q3"",0.486068463,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2016-Q4"",0.930670858,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2017-Q1"",0.333766771,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2017-Q2"",0.673769172,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2017-Q3"",0.640168692,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2017-Q4"",0.577759763,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2018-Q1"",0.780734748,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2018-Q2"",0.239713961,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2018-Q3"",0.43148528,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2018-Q4"",1.201305782,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2019-Q1"",0.515956599,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2019-Q2"",-0.433826934,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2019-Q3"",0.48452106,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2019-Q4"",-0.516565349,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2020-Q1"",-2.340232844,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2020-Q2"",-11.48819694,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2020-Q3"",11.305281893,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2020-Q4"",-1.799491379,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",-1.032706006,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",3.97943566,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",4.188200011,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",-0.869115124,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",1.250251947,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",1.688029469,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.040853928,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q4"",-0.058313179,"
"AUT,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2023-Q1"",0.094454911,"
