"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","Q","2004-Q1",0.772252982,
"OECD","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.70219846,
"OECD","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.604293172,
"OECD","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.68617509,
"OECD","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.753905066,
"OECD","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.6662261,
"OECD","QGDP","TOT","PC_CHGPP","Q","2005-Q3",0.90110741,
"OECD","QGDP","TOT","PC_CHGPP","Q","2005-Q4",0.760932107,
"OECD","QGDP","TOT","PC_CHGPP","Q","2006-Q1",1.032178541,
"OECD","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.679731643,
"OECD","QGDP","TOT","PC_CHGPP","Q","2006-Q3",0.37078893,
"OECD","QGDP","TOT","PC_CHGPP","Q","2006-Q4",0.97658386,
"OECD","QGDP","TOT","PC_CHGPP","Q","2007-Q1",0.680569214,
"OECD","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.650725402,
"OECD","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.519131378,
"OECD","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.700765628,
"OECD","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.191005552,
"OECD","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.018240498,
"OECD","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-0.503165844,
"OECD","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-1.992984927,
"OECD","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-2.314634124,
"OECD","QGDP","TOT","PC_CHGPP","Q","2009-Q2",0.196416728,
"OECD","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.583227604,
"OECD","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.901530064,
"OECD","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.601583127,
"OECD","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.104732051,
"OECD","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.853288503,
"OECD","QGDP","TOT","PC_CHGPP","Q","2010-Q4",0.568861375,
"OECD","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.279772477,
"OECD","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.377510014,
"OECD","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.592660937,
"OECD","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.428312227,
"OECD","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.482234243,
"OECD","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.140580856,
"OECD","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.178958156,
"OECD","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.038699548,
"OECD","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.583330945,
"OECD","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.538809304,
"OECD","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.716916419,
"OECD","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.484375461,
"OECD","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.359814823,
"OECD","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.482137706,
"OECD","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.776331065,
"OECD","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.550860547,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.817962345,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.548481859,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.533010578,
"OECD","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.306780756,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.546002957,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.364397365,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.393405939,
"OECD","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.813577981,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.64442372,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.724408065,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.727192849,
"OECD","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.798587613,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.573468106,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.633019057,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.20888564,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.221386725,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.617989999,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.581004006,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.450862093,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.028004848,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.727455546,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.446842628,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.407047697,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.057241495,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.742649274,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.70059141,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.095904295,
